sherlock-holmes,10,Angelsdawn,/user/Angelsdawn,"Sep  6, 2010","[ ""I'm loving the reviews here, the stupidity within the statements: \""It was too rational\"" and \""It was too complicated and boring\"" are reminding me once again that most movie-goers prefer to have their hand held throughout an entire movie rather than use their deductive skills. Too rational? are you kidding? you actually need 'magic' to enjoy something? Sherlock Holmes is ALL about the mystery being solved, everything being presented and known. If you don't like that then why did you even bother to go watch? @the Sherlock Holmes purists, every other hero of some of the oldest stories in time have transitioned into numerous changes like this one(batman, being a man without powers, being a sort of detective on his own, was changed a lot over the years). The picture of however you imagined Sherlock to be might not be the same as the next person beside you. Its open to interpretation, unless you seek to extinguish everyone's creativity due to your close mindedness. The characters weren't empty, their relationship was fully realized (Sherlock and Watson, two detectives fighting over small, inconsequential things, Watson being tired of Sherlock's antics, and yet what unifies them is the mystery for the time being. Sherlock feeling stuck in his life, feeling as though he is being abandoned, trying to pull his old friend back into the game so he wont be the only one who's trapped and alone, his character develops from there but I wont spoil it) and it was very much apparent that they cared deeply about each other, but most would rather that their emotions surface in a much more obvious way. Its ridiculous to give this movie a bad review just because you didn't bother paying attention."", ""As for the science and the technology in this movie, it wasn't a copout. All of this was at their disposal back then. Sherlock Holmes, whatever version you prefer of him, was above all else a man of science. Also it goes without saying that in the books and in the cartoon or live action series on tv, things did go slower and there was less action. However in movie format things have to be sped up a bit in order to fit everything in, otherwise the movie would wind up being 3-4 hours and coming wayyy over their estimated budget. Its impractical, and to say otherwise means most of you don't have a clear grasp on what making a movie entails, including the reviewers of these magazines. Besides it all works out in the end, and I found the pacing to be especially stimulating, kept me at attention the entire time."", ""I understand that you have to pump out these reviews almost everyday, but it doesn't mean you have to rush them like this. Hating a movie like this one while its successful doesn't make you a good critic, it just makes an idiot, especially when you assume this was made for a younger generation or for the \""ADD crowd\"". Branding them the ADD crowd while skipping over the fountain of medical terms used in the proper way(for once in a mainstream movie, no pseudo-science, no **** spells or rituals), the witty jokes and all of the deductions and experiments Holmes made all tied together in one neat conspiracy(Which given a little thought, wasn't all that complicated to those who said it was) just makes you look like your the one who deserves the label."", ""Also what was mentioned was the exaggerated scenarios. They were pretty lucky to survive I will admit, but one thing I found realistic was the part when they lost a whole night's sleep after the fight. This is something I rarely see in movies, usually the fight is over, hero carries on like a good soldier. This humanized them, and it wasn't the only occasion in the movie where they did this."", ""One last comment before I leave this review to those whom aren't as gullible as the rest, the hand to hand combat wasn't as uninspired as some claim it to be. While being as intelligent as Holmes with the reflexes he possessed, its not hard to observe the fact that every hit he made was calculated beforehand, as displayed in the very beginning of the movie. When he didn't have time to calculate his every movement he used things like the electricity conductor or chains or guns etc to gain an advantage. I honestly don't get how all of this could have been missed by so many reviewers, but that's fine. I hope that if you've read this you've decided to rent or buy this movie. Whatever you decide, its definitely worth the look."" ]",11,11,11,0
sherlock-holmes,8,PeterS,,"Jan 16, 2010",[],1,1,,
sherlock-holmes,10,DanielT,,"Apr  6, 2010",[],1,1,,
sherlock-holmes,10,JakeR,,"Dec 27, 2009",[],1,1,,
sherlock-holmes,7,LandF,/user/LandF,"Apr 19, 2012","[ ""Hmmmm. There are action sequences, plenty of one liners, and Robert Downey Jr. I can only deduce that this is another Hollywood box office smash. And silly old me, I just saw the film. My friends pestered me about this for the longest time. They loved the film, and were positive I would too. I told them I'd get around to it, until finally one of my friends lent me the movie to watch. My feelings about this unique film are a little mixed. The film wants to be clever, but very little smarts at all are needed to view this film. Naturally, this film is geared towards teenage boys, who for the most part, are not interested in an intellectually stimulating film. They just want to see Downey deliver witty lines, and watch him beat up thugs. So, if that's what you came to see, you will not be disappointed. However those wanting a more intelligent film, should not look here. Even when the Sherlock Holmes is explaining how he figured out the case at the end, it's through many clues that the viewer didn't have a chance of deciphering themselves, which is quite contradictory to what Sherlock Holmes is all about. I know the target audience, so I expected as much, but my mother who viewed the film with me, was quite irritated at the obscure clues. A good mystery should be tailored so that the audience can try to solve the mystery too (and make it hard enough, so that they can't figure it out). This film does nothing of the sort, instead, we merely learn at the end, that Sherlock had seen things that the camera never shows us, making it impossible to solve the mystery ourselves. But like I said, the target audience doesn't care about such things, so therefore, the film is oddly \""smartless.\"" But I digress. On the other hand, the cast does a fantastic job at portraying each of their characters, even if some lines were delivered a little hammy. Also, the musical score, composed by Hanz Zimmer, is very good, and absolutely hilarious. Music doesn't commonly make me smile (out of humor anyway), but this score did. Though many of the action sequences were rather ordinary, there were definitely a handful that kept me on the edge of my seat, and I'm sure the target audience will eat it up. The film is quite amusing, as one can expect with from the leading actor, but for some reason, the film wasn't quite as humorous as I was expecting. It was funny enough, anyway. Lastly, and this may be a major problem for some, but this film just doesn't feel like Sherlock Holmes. It feels like Robert Downey Jr. makes another million dollars. I suppose this is to be expected, but somehow, I was hoping that there might be some sort of Sherlock spirit to this, but alas, there was not. I was not wowed, but I most definitely enjoyed myself. I do wish, though, that the film was a bit more intelligent, and this film doesn't feel like Sherlock Holmes at all. Regardless, this is an enjoyable romp, and I'll probably catch the sequel on DVD. Consider me entertained, but not impressed."" ]",1,1,1,0
sherlock-holmes,8,Futuredirector,/user/Futuredirector,"Mar 13, 2016","[ ""Thanks to Robert Dwoney Jr. and Jude Law's surprisingly effective chemistry and an impressively entertaining storytelling, Sherlock Holmes isn't only one of the smartest works added to Ritchie's filmography; it also offers a great spectacle to the audience."" ]",1,1,1,0
sherlock-holmes,8,grandpajoe6191,/user/grandpajoe6191,"Sep 29, 2011",[],11,12,11,1
sherlock-holmes,9,GarthN,,"Jan  9, 2010",[],1,2,,
sherlock-holmes,8,oscarr,/user/oscarr,"Dec 17, 2011",[],1,2,1,1
sherlock-holmes,4,ryancarroll88,/user/ryancarroll88,"Aug 27, 2010",[],1,3,1,2
